Year,Region,Total Population,Male Population,Female Population,Aboriginal population proportion (%),Population aged 0-4 years,Population aged 5-9 years,Population aged 15-19 years,Population aged 20-24 years,Population aged 25-29 years,Population aged 30-34 years,Population aged 35-39 years,Population aged 40-44 years,Population aged 45-49 years,Population aged 50-54 years,Population aged 55-59 years,Population aged 60-64 years,Population aged 65-69 years,Population aged 70-74 years,Population aged 75-79 years,Population aged 80-84 years,Population aged 85+ years,Age specific birth rate per 1000 women aged 15-44 years,Age specific birth rate per 1000 women aged 15-19 years,Low birth weight (%),Still birth (%),Fertility rate,"Total potentially preventable hospitalisations (PPH) (ASR per 100,000)","PPH - Vaccine preventable conditions (ASR per 100,000)","PPH - Acute conditions (ASR per 100,000)","PPH - Chronic conditions (ASR per 100,000)","Total injury hospitalisations (ASR per 100,000)","Transport accident hospitalisations (ASR per 100,000)","Accidental fall hospitalisations (ASR per 100,000)","Exposure to mechanical force hospitalisations (ASR per 100,000)","Accidental poisoning hospitalisations (ASR per 100,000)","Intentional self-harm hospitalisations (ASR per 100,000)","Assault hospitalisations (ASR per 100,000)","Adverse effects due to drugs and other substance hospitalisations (ASR per 100,000)","Abnormal reaction following procedure hospitalisations (ASR per 100,000)","Breast cancer incidence (female) (ASR per 100,000)","Lung cancer incidence (ASR per 100,000)","Prostate cancer incidence (male) (ASR per 100,000)","Colorectal cancer incidence (ASR per 100,000)","Melanoma incidence (ASR per 100,000)",Currently smokes (%),Consumes two or more serves of  fruit daily (%),Consumes 5 or more serves of vegetables daily (%),Alcohol long term harm (%),Alcohol short term harm (%),Completes at least 150 minutes of physical activity over 5 sessions (18 years and over) (%),Overweight (%),Obese (%)
2011,Western Australia,2353409,1185050,1168359,3.75,156415,148990,154407,177338,185344,166241,168743,173520,166144,157870,140313,124460,91260,69079,51667,39324,34638,63.3,18.16,6.58,0.8,1.91,2353,54,1232,1067,4458,328,969,468,68,185,187,538,1045,114,43,179,60,47,14.5,49.1,10.9,36.8,16.4,63.1,40.3,26.1
2012,East Metro,628335,319510,308825,2.67,41760,34875,39157,52741,59813,52594,44889,45207,41064,39449,35315,31480,24195,16930,12902,9518,9028,65.01,19.95,6.51,0.8,1.86,2536.2,109.8,1263,1163.4,4634.5,308.2,1038.4,455.3,72.1,191.7,145.3,640.5,1095.4,128.7,46.6,155.6,56.1,40.9,12.9,46.6,9.7,22.5,7.8,60,40.6,31.7
2012,North Metro,687495,340941,346554,1.2,45222,42767,46297,52529,56255,49004,48051,51895,48173,45003,40062,34552,26932,19025,14880,11491,11036,60.87,9.64,6.29,0.5,1.84,2260.5,70.5,1250.2,939.7,4355.9,272,1006.6,406.9,66.8,213.4,113.5,579.1,1043.7,123.2,38.2,175.1,45.5,49.5,11.8,47.5,8.2,32.7,14.2,63.4,36,22
2012,South Metro,592808,294615,298193,1.78,38653,37414,40437,44569,43491,39699,39870,43516,40980,39398,35193,31481,25769,18401,14793,11306,9894,62.38,14.19,6.51,0.8,1.92,2242.7,84.2,1212.6,945.9,4256.9,279.8,902.9,433.5,65.6,163.7,123.2,573.2,1057.6,128.9,42.9,196.4,54.3,44.6,10.4,54.1,10,28,10.9,67.6,39,27.1
2012,Goldfields,60776,32257,28519,11.41,4726,4196,3828,4728,5609,4875,4636,4703,4472,4111,3221,2528,1751,1161,783,515,422,75.74,36.08,7.22,0.6,2.23,3195.4,115.9,1341.7,1737.8,4704.2,443.4,934.8,513.3,48.3,206.1,276.7,522,1044.3,100,84.9,175.1,65.2,48.9,19.3,50.1,11.8,32.5,14.5,58.6,33.9,39.7
2012,Great Southern,58109,28725,29384,4.53,3707,4135,3675,2924,3000,3221,3427,4031,4086,4285,4026,3690,3087,2360,1835,1347,1161,75.74,20.64,8.18,1,2.21,2473.5,78.8,1166.1,1228.6,4273.9,345.7,741.6,427.5,71.3,197.5,171.6,622.2,1016.3,143.6,38,231,59.5,34.6,10.7,51.6,13.2,29,8.7,63.6,38.9,29.9
2012,Kimberley,38122,20099,18023,45.29,3040,2799,2195,3099,4048,3564,3045,2912,2560,2370,2099,1305,867,407,244,197,134,67.56,78.82,9.78,1,2.3,7102.6,566,3817.3,2719.3,8964.8,695.7,1545.7,1164.3,70.7,353.3,1693.1,618.1,1440.7,0,0,0,0,0,23.8,46.8,10.3,43.1,24,51.4,31.6,28.7
2012,Midwest,66325,34117,32208,13.03,4589,4709,4171,3901,4449,4222,4454,5095,4789,4727,4411,3722,2936,2082,1523,1055,810,76.17,31.16,7.02,0.7,2.18,3175.8,159,1641.7,1375.1,5633.5,497.2,1206,704.5,95.3,220.8,362.7,655.5,1045.5,142.4,56.3,124.3,60.2,42.8,15.7,48.5,13.6,32.4,12.2,63.1,33.3,38
2012,Pilbara,64164,39909,24255,15.66,4517,3238,2833,5242,8463,7055,6509,6222,5032,4697,3284,1742,733,309,153,61,86,69.18,37.33,5.12,0.8,1.82,3216.4,201.5,1599.8,1415.1,4851.3,470.7,1174.9,525.2,61.8,144.3,443.4,421.5,847.5,0,0,0,0,0,20.5,53.1,5.7,43.2,20.2,67.2,39.4,39.2
2012,South West,164744,81753,82991,2.59,11303,11659,10686,8846,9973,10358,10892,12361,11665,11793,11029,9571,7939,5329,3968,3010,2554,65.36,17.65,5.71,0.5,2.18,2259.8,58.7,1080.4,1120.7,4507,386.8,896.8,498.2,66.1,226.5,122.4,463.9,1150.3,119.8,35.3,187.1,44.7,69.2,14.3,57.1,12.8,31.6,14.1,62.2,37.4,28.9
